order,name,address,hours,closed_days,parking,dog_area,dog_menu,rules,intro,memo,official_site_url,instagram_url,extra_memo,google_maps_url,other_source_urls,tabelog_url,is_visited,is_hidden,published_slug
1,山田屋,東京都府中市矢崎町1丁目3,競馬開催日・営業状況に準ずる,東京競馬場の営業日に準ずる,なし（近隣コインパーキング利用）,店内OK,なし,,東京競馬場エリアにある飲食店で、条件が合えば店内同伴も可能です。開催日ならではの独特な使い方がある一軒です。,店内は、おとなしく過ごせて他のお客さんの迷惑にならないことが条件。G1開催日や暖かい時期には外席が出て、周辺店舗と合わせて同伴しやすくなる記録があります。,,,"店内は条件付きでワンコ🆗。
おとなしく出来て他客が問題なければ店内利用可能。
東京競馬場G1開催日、または暖期の他会場G1開催日は外席が設置され山田屋だけでなく他の隣店もワンコ🆗。",https://www.google.com/maps/place/%E5%B1%B1%E7%94%B0%E5%B1%8B/data=!4m2!3m1!1s0x6018e4e704119861:0x65602c3c9c39675c,https://www.google.com/maps/place/%E5%B1%B1%E7%94%B0%E5%B1%8B/data=!4m2!3m1!1s0x6018e4e704119861:0x65602c3c9c39675c,https://tabelog.com/tokyo/A1326/A132602/13277834/,true,false,fuchu-19
2,SOIGIN COFFEE hasami,東京都府中市本町2丁目20-20 ルシェリ・メゾン,10:00～17:00,火曜日,なし（近隣コインパーキング利用）,外席・ベンチ席,なし,,本町のルシェリ・メゾンに入るコーヒー店で、散歩途中の立ち寄りに向いた一軒です。外のベンチ席で愛犬と一緒に休憩できます。,同伴エリアは外席ベンチのみ。火曜定休で、駐車場はなく近隣コインパーキング利用前提です。,https://soigin.com/,,外席ベンチあり,https://www.google.com/maps/place/SOIGIN+COFFEE+hasami/data=!4m2!3m1!1s0x6018e5007de91a1f:0x399d8122d72f13fa,https://cafe-arukist.com/2025/11/17/media-204/,https://tabelog.com/tokyo/A1326/A132602/13274291/,true,false,fuchu-20
3,医食屋nobu 発酵野菜・自然食,東京都府中市本町2-19-53,11:30〜14:30 / 17:30〜22:00,日曜日・月曜日,なし（近隣コインパーキング利用）,店内OK,なし,カフェマット: 必須,発酵野菜や自然食を楽しめる本町のレストランです。店内同伴ができるので、天候を気にせず利用しやすいのが魅力です。,店内利用時はカフェマット必須。日曜・月曜休みで、駐車場は近隣コインパーキング利用です。,,https://www.instagram.com/ishokuyanobu/,店内ワンコ🆗です。カフェマット必須。,https://www.google.com/maps/place/%E5%BA%9C%E4%B8%AD%E3%81%A7%E9%87%8E%E8%8F%9C%E3%82%92%E9%A3%9F%E3%81%B9%E3%82%8B%E3%81%AA%E3%82%89%E5%8C%BB%E9%A3%9F%E5%B1%8Bnobu%E7%99%BA%E9%85%B5%E9%87%8E%E8%8F%9C%E3%83%BB%E8%87%AA%E7%84%B6%E9%A3%9F/data=!4m2!3m1!1s0x6018e4fb9596aaab:0xc2635a3889954140,https://tabelog.com/tokyo/A1326/A132602/13272638/|https://gourmet.aumo.jp/gourmets/1062812,https://tabelog.com/tokyo/A1326/A132602/13272638/,true,false,fuchu-01
4,Cafe開,東京都府中市四谷1-63-20,11:00〜18:00（ランチLO 13:30）,火・水,なし（近隣コインパーキング利用）,サンルーム・テラス席,なし,,四谷の住宅街にあるカフェで、テラスに加えてサンルームもワンコOKとの情報があります。落ち着いて過ごしたい日に向く一軒です。,テラス席は屋根付きで風防あり。サンルーム同伴はメモベースのため、来店前に確認しておくと安心です。,,,"テラス席とサンルームがワンコ🆗らしいです。
テラス席は屋根付き風防あり。",https://www.google.com/maps/place/%E3%82%AB%E3%83%95%E3%82%A7%E9%96%8B/data=!4m2!3m1!1s0x6018e49cf922342b:0xf63351040c0bdaf7,https://r.gnavi.co.jp/pfh52yh70000/,https://tabelog.com/tokyo/A1327/A132702/13241706/,true,false,fuchu-21
5,THREE ARROWS BREWING（スリーアローズブルーイング）,東京都府中市府中町2丁目1-9,月火木金土日 14:00〜22:00（食べログ）。水曜定休,水曜,なし（食べログ・府中さんぽ）,店内・テラス席OK,なし,店内フード持ち込み可（府中さんぽ）,府中町のブルーパブで、クラフトビールを気軽に楽しめます。店内とテラスの両方で愛犬と過ごせる珍しい一軒です。,店内は立ち飲みスタイル。水曜定休で、ルール欄には「店内フード持ち込み可」の記載があります。,https://threearrowsbrewing.com,https://www.instagram.com/three.arrows.brewing/,店内立ち飲み。店内と外のテラス席がワンコ🆗,https://www.google.com/maps/place/%E3%82%B9%E3%83%AA%E3%83%BC%E3%82%A2%E3%83%AD%E3%83%BC%E3%82%BA%E3%83%96%E3%83%AB%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0/data=!4m2!3m1!1s0x6018e50075348823:0x5fef25505e3f4b47,https://tabelog.com/tokyo/A1326/A132602/13311113/|https://fuchu-sanpo.toho-house.co.jp/gourmet/bar/fuchu-threearrowsbrewing-w882-20260127/,https://tabelog.com/tokyo/A1326/A132602/13311113/,true,false,fuchu-22
6,脇町珈琲,東京都府中市本町2丁目20番44号 本町ストア,火〜金11:00〜19:00・土8:00〜20:00・日8:00〜19:00・祝・祝前日11:00〜19:00（ホットペッパー2025/01/21更新）,月＋平日1日不定休（ホットペッパー掲載）,なし（近隣有料駐車場・ホットペッパー）,外席・ベンチ席,なし,,本町ストア内にある珈琲店で、コーヒー片手にひと息つきたい時に寄りやすい店です。空いていれば外のベンチで愛犬と過ごせます。,外席ベンチの利用は空席状況次第とのメモあり。月曜に加え平日不定休があり、近隣有料駐車場の利用案内があります。,,,空いていれば外席ベンチでワンコ🆗らしいです,https://www.google.com/maps/place/%E8%84%87%E7%94%BA%E7%8F%88%E7%90%B2/data=!4m2!3m1!1s0x6018e566619cc099:0x8f565c8a11e5e64d,https://www.hotpepper.jp/strJ001225466/|https://www.navitime.co.jp/poi?spot=01125-J001225466,https://tabelog.com/tokyo/A1326/A132602/13256519/,true,false,fuchu-23
7,スターバックス コーヒー 府中西府店,東京都府中市西府町2-5-7,07:00～22:00,不定休,あり,テラス席のみ,なし,,西府町にあるスターバックスで、ドライブや散歩の休憩に使いやすい店舗です。愛犬はテラス席のみ同伴できます。,不定休表記で、駐車場あり。テラス席同伴可は sourceCsvMemo ベースのため、混雑時の席状況は現地で確認するのが安心です。,https://store.starbucks.co.jp/detail-1979/,https://www.instagram.com/starbucks_j/,テラス席ワンコ🆗です,https://www.google.com/maps/place/%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%90%E3%83%83%E3%82%AF%E3%82%B9+%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC+%E5%BA%9C%E4%B8%AD%E8%A5%BF%E5%BA%9C%E5%BA%97/data=!4m2!3m1!1s0x6018e5002dadd9e9:0x899e7841c35f64ae,https://everyday-starbucks.com/2025/06/02/fuchu-nishifu/,https://tabelog.com/tokyo/A1326/A132602/13265881/,true,false,fuchu-02
8,café コットン畑,東京都府中市宮西町2丁目13-3 TNK第2ビル,11:00〜15:00（LO 14:30）,土・日・祝,なし（近隣コインパーキング利用）,テラス席,なし,,宮西町の街なかにあるカフェで、平日昼にゆっくり立ち寄りやすい一軒です。テラス席で愛犬と一緒に利用できます。,就労継続支援B型事業所を兼ねており、ホール接客は就労トレーニング目的との案内あり。土日祝休みです。,,https://www.instagram.com/cafe.cotton1996,"テラス席ワンコ🆗
就労継続支援B型事業所。ホールスタッフは就労トレーニングが目的の接客なのでご承知おきください。",https://www.google.com/maps/place/Cafe+%E3%82%B3%E3%83%83%E3%83%88%E3%83%B3%E7%95%91/data=!4m2!3m1!1s0x6018e4eff7fa09a3:0x319aeec3204f2aa2,https://maps.app.goo.gl/zzVmf6HvrehQX7hM6,https://tabelog.com/tokyo/A1326/A132602/13110294/,true,false,fuchu-24
9,京都ラーメンよこ川 府中店,東京都府中市府中町1丁目5-7 浦野ビル1F,月〜木・日 11:00〜23:00 / 金・土・祝前日 11:00〜翌1:00,無休,なし（近隣コインパーキング利用）,外席・ベンチ席,なし,公式サイト・Instagramは特定できず。犬・外席はメモのみ,府中駅近くで京都ラーメンを楽しめる店です。外席が使える時は愛犬と一緒に食事しやすい一軒です。,隣の系列店「もつしげ」側の外席も利用できるというメモがあります。公式サイトや Instagram は特定できておらず、同伴情報はメモベースです。,,,"外席があってワンコと一緒食べられます
となりの呑み屋のもつしげさんの外席も利用出来ます(系列店)",https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3+%E3%82%88%E3%81%93%E5%B7%9D/data=!4m2!3m1!1s0x6018e50033138905:0xa50b659bfd8a2bba,https://map.yahoo.co.jp/v3/place/PSJyXB-XhDo|https://hitosara.com/0031723810/map.html,https://tabelog.com/tokyo/A1326/A132602/13307196/,true,false,fuchu-25
10,もつしげ 府中店,東京都府中市府中町1-5-7 浦野ビル 1F,平日 16:00〜23:30 / 土日祝 14:00〜23:30,無休,なし（近隣コインパーキング利用）,外席のみ（※暖季限定）,なし,,もつ焼きが人気の府中町の居酒屋です。暖かい季節は外席が出て、愛犬連れでも立ち寄りやすくなります。,同伴は暖季限定の外席のみ。平日は夕方から営業で、駐車場は近隣コインパーキング利用です。,https://www.new-look.co.jp/shop/#motsushige,https://www.instagram.com/motsushige.fuchu/,暖季は外席が出てワンコ🆗です,https://www.google.com/maps/place/%E3%82%82%E3%81%A4%E3%81%97%E3%81%92+%E5%BA%9C%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x6018e5c8958f57b1:0xfacabdc8059b849d,https://tabelog.com/tokyo/A1326/A132602/13306727/|https://r.gnavi.co.jp/55whu81a0000/,https://tabelog.com/tokyo/A1326/A132602/13306727/,true,false,fuchu-03
