csv_row,title,address,google_maps_url,csv_memo,published_slug,published_name,published_match_score,published_address,published_intro,published_hours,published_closed_days,published_parking,published_dog_area,published_dog_menu,published_rules,published_memo,researched_name,researched_address,researched_hours,researched_closed_days,researched_parking,researched_dog_area,researched_dog_menu,researched_rules,researched_intro,researched_memo,official_site_url,instagram_url,other_source_urls,source_notes,comparison_notes,status
2,山田屋,〒183-0025 東京都府中市矢崎町１丁目３,https://www.google.com/maps/place/%E5%B1%B1%E7%94%B0%E5%B1%8B/data=!4m2!3m1!1s0x6018e4e704119861:0x65602c3c9c39675c,"店内は条件付きでワンコ🆗。
おとなしく出来て他客が問題なければ店内利用可能。
東京競馬場G1開催日、または暖期の他会場G1開催日は外席が設置され山田屋だけでなく他の隣店もワンコ🆗。",,,,,,,,,,,,,山田屋,〒183-0025 東京都府中市矢崎町1丁目3,不明,不明,不明,条件付きで店内可とのメモ（静か・他客への配慮）。東京競馬場G1開催日など外席設置のメモあり,なし,メモベース・要店舗確認,,,,,https://www.google.com/maps/place/%E5%B1%B1%E7%94%B0%E5%B1%8B/data=!4m2!3m1!1s0x6018e4e704119861:0x65602c3c9c39675c,公式サイト・営業時間の一次情報は未確認。Googleマップ上の同名スポットのみ,,researched
3,SOIGIN COFFEE hasami,〒183-0027 東京都府中市本町２丁目２０−２０ ルシェリ・メゾン,https://www.google.com/maps/place/SOIGIN+COFFEE+hasami/data=!4m2!3m1!1s0x6018e5007de91a1f:0x399d8122d72f13fa,外席ベンチあり,,,,,,,,,,,,,SOIGIN COFFEE hasami,〒183-0027 東京都府中市本町2丁目20-20 ルシェリ・メゾン,不明,不明,不明,外席ベンチありとのメモ,なし,不明,,,,,https://cafe-arukist.com/2025/11/17/media-204/,府中オープン報道は確認できたが営業時間・公式URL・公式Instagramの特定には至らず,,researched
4,医食屋nobu 発酵野菜・自然食,〒183-0027 東京都府中市本町１丁目１−２１ ＣＣ ＢＡＳＥ １Ｆ,https://www.google.com/maps/place/%E5%BA%9C%E4%B8%AD%E3%81%A7%E9%87%8E%E8%8F%9C%E3%82%92%E9%A3%9F%E3%81%B9%E3%82%8B%E3%81%AA%E3%82%89%E5%8C%BB%E9%A3%9F%E5%B1%8Bnobu%E7%99%BA%E9%85%B5%E9%87%8E%E8%8F%9C%E3%83%BB%E8%87%AA%E7%84%B6%E9%A3%9F/data=!4m2!3m1!1s0x6018e4fb9596aaab:0xc2635a3889954140,店内ワンコ🆗です。カフェマット必須。,fuchu-01,医食屋nobu 発酵野菜・自然食,0.732,東京都府中市本町2-19-53,"府中にある発酵野菜や自然食が楽しめる、体に優しい料理が自慢のレストラン。
健康志向のランチやディナーを快適な空間でゆっくり味わえます。",11:30〜14:30 / 17:30〜22:00,日曜日・月曜日,なし（近隣コインパーキング利用）,店内OK,なし,カフェマット: 必須,店内ワンコOKで一緒に食事が楽しめます。,医食屋 nobu,東京都府中市本町1-1-21 CC-BASE 1F,火〜日・祝・祝前日 12:00〜19:30（食べログ掲載。12:00〜14:00・17:00〜20:00・売切次第終了の注記あり）,月曜,隣にコインパーキングあり（食べログ掲載）,店内ペット可（食べログ店舗掲載）。カフェマット必須はメモ,なし,食べログにペット可。ベビーカーは外預けの記載あり。カフェマットはメモ,"府中にある発酵野菜や自然食が楽しめる、体に優しい料理が自慢のレストラン。
健康志向のランチやディナーを快適な空間でゆっくり味わえます。",店内ワンコOKで一緒に食事が楽しめます。,https://www.instagram.com/ishokuyanobu,https://www.instagram.com/ishokuyanobu,https://tabelog.com/tokyo/A1326/A132602/13272638/|https://gourmet.aumo.jp/gourmets/1062812,aumo掲載のPeraichi公式URLは404。営業時間は食べログ店舗公式掲載を採用,,researched
5,カフェ開,〒183-0035 東京都府中市四谷１丁目６３−２０,https://www.google.com/maps/place/%E3%82%AB%E3%83%95%E3%82%A7%E9%96%8B/data=!4m2!3m1!1s0x6018e49cf922342b:0xf63351040c0bdaf7,"テラス席とサンルームがワンコ🆗らしいです。
テラス席は屋根付き風防あり。",,,,,,,,,,,,,Cafe開,〒183-0035 東京都府中市四谷1-63-20,11:00〜18:00（ランチLO 13:30）,火曜・水曜,不明（公式に専用駐車場の記載なし）,公式に「ワンちゃんと一緒にくつろげる」とあり。テラス・サンルーム限定はメモ（公式で区分未確認）,なし,不明,,,https://community-cafe-kai.com/,,https://r.gnavi.co.jp/pfh52yh70000/,ぐるなびは定休日表示が一部欠落のため営業時間・定休は公式サイト準拠,,researched
6,スリーアローズブルーイング,〒183-0055 東京都府中市府中町２丁目1−９,https://www.google.com/maps/place/%E3%82%B9%E3%83%AA%E3%83%BC%E3%82%A2%E3%83%AD%E3%83%BC%E3%82%BA%E3%83%96%E3%83%AB%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0/data=!4m2!3m1!1s0x6018e50075348823:0x5fef25505e3f4b47,店内立ち飲み。店内と外のテラス席がワンコ🆗,,,,,,,,,,,,,THREE ARROWS BREWING（スリーアローズブルーイング）,東京都府中市府中町2丁目1-9,月火木金土日 14:00〜22:00（食べログ）。水曜定休,水曜,なし（食べログ・府中さんぽ）,屋外テラスあり・犬の散歩途中の利用に言及（府中さんぽ）。店内立ち飲み可はメモ,なし,店内フード持ち込み可（府中さんぽ）,,,https://threearrowsbrewing.com/,https://www.instagram.com/three.arrows.brewing/,https://tabelog.com/tokyo/A1326/A132602/13311113/|https://fuchu-sanpo.toho-house.co.jp/gourmet/bar/fuchu-threearrowsbrewing-w882-20260127/,日曜の早開け12:00〜は府中さんぽにあり食べログ14:00〜と不一致。公式サイトは取得タイムアウトのため食べログ優先,,researched
7,脇町珈琲,〒183-0027 東京都府中市本町２丁目２０−４４ 本町ストア,https://www.google.com/maps/place/%E8%84%87%E7%94%BA%E7%8F%88%E7%90%B2/data=!4m2!3m1!1s0x6018e566619cc099:0x8f565c8a11e5e64d,空いていれば外席ベンチでワンコ🆗らしいです,,,,,,,,,,,,,脇町珈琲,東京都府中市本町2丁目20番44号 本町ストア,火〜金11:00〜19:00・土8:00〜20:00・日8:00〜19:00・祝・祝前日11:00〜19:00（ホットペッパー2025/01/21更新）,月＋平日1日不定休（ホットペッパー掲載）,なし（近隣有料駐車場・ホットペッパー）,メモは店外ベンチ空席時OK。掲載ではテラス席なし（ホットペッパー）,なし,不明,,,https://wakimachicoffee.com/,,https://www.hotpepper.jp/strJ001225466/|https://www.navitime.co.jp/poi?spot=01125-J001225466,犬同伴は公式・掲載で裏付け未確認。外席の有無と犬可否は要確認,,researched
8,スターバックス コーヒー 府中西府店,〒183-0031 東京都府中市西府町２丁目5−７,https://www.google.com/maps/place/%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%90%E3%83%83%E3%82%AF%E3%82%B9+%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC+%E5%BA%9C%E4%B8%AD%E8%A5%BF%E5%BA%9C%E5%BA%97/data=!4m2!3m1!1s0x6018e5002dadd9e9:0x899e7841c35f64ae,テラス席ワンコ🆗です,fuchu-02,スターバックス コーヒー 府中西府店,1.000,東京都府中市西府町1-52-1,"ドライブの途中やお散歩の休憩にぴったりなスタバ。
開放感のあるスペースで、美味しいコーヒーやフラペチーノを楽しめます。",07:00～22:00,不定休,あり,テラス席のみ,なし,,,スターバックス コーヒー 府中西府店,〒183-0031 東京都府中市西府町2丁目5-7,7:00〜22:00,不定休（公式店舗ページ）,不明（公式は車アクセスのみ・専用駐車場の明記なし）,テラス席あり（第三者店舗レビュー）。ペットはチェーンの一般運用でテラスエリア想定（公式店舗ページにペット明記なし）,なし,不明,"ドライブの途中やお散歩の休憩にぴったりなスタバ。
開放感のあるスペースで、美味しいコーヒーやフラペチーノを楽しめます。",,https://store.starbucks.co.jp/detail-4459/,,https://everyday-starbucks.com/2025/06/02/fuchu-nishifu/,テラス席の有無は店舗レビュー由来。同伴犬ポリシーは店舗ページ未記載のため一般方針レベル,,researched
9,Cafe コットン畑,〒183-0022 東京都府中市宮西町２丁目１３−３ TNK 第2ビル,https://www.google.com/maps/place/Cafe+%E3%82%B3%E3%83%83%E3%83%88%E3%83%B3%E7%95%91/data=!4m2!3m1!1s0x6018e4eff7fa09a3:0x319aeec3204f2aa2,"テラス席ワンコ🆗
就労継続支援B型事業所。ホールスタッフは就労トレーニングが目的の接客なのでご承知おきください。",,,,,,,,,,,,,café コットン畑,〒183-0022 東京都府中市宮西町2丁目13-3 TNK第2ビル,11:00〜15:00（LO 14:30）,土曜・日曜・祝日（NPO公式ページ）,不明（公式に専用駐車場の記載なし）,テラスで犬OKはメモ。公式ページにペット記載なし,なし,不明,,,https://ch-friends.or.jp/cafe-cottonbatake,https://www.instagram.com/cafe.cotton1996,https://maps.app.goo.gl/zzVmf6HvrehQX7hM6,営業時間はNPO公式のアクセス欄。犬エリアはメモのみ,,researched
10,京都ラーメン よこ川,〒183-0055 東京都府中市府中町１丁目５−７ 浦野ビル 1F,https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3+%E3%82%88%E3%81%93%E5%B7%9D/data=!4m2!3m1!1s0x6018e50033138905:0xa50b659bfd8a2bba,"外席があってワンコと一緒食べられます
となりの呑み屋のもつしげさんの外席も利用出来ます(系列店)",,,,,,,,,,,,,京都ラーメンよこ川 府中店,東京都府中市府中町1丁目5-7 浦野ビル1F,11:00〜23:00（Yahoo!マップ・ヒトサラ等。深夜帯は情報源で差異あり）,無休（Yahoo!マップ等・要確認）,不明,外席で犬同伴可はメモ。隣接もつしげ外席利用はメモ,なし,不明,,,,,https://map.yahoo.co.jp/v3/place/PSJyXB-XhDo|https://hitosara.com/0031723810/map.html,公式サイト・Instagramは特定できず。犬・外席はメモのみ,,researched
11,もつしげ 府中店,〒183-0055 東京都府中市府中町１丁目5−７,https://www.google.com/maps/place/%E3%82%82%E3%81%A4%E3%81%97%E3%81%92+%E5%BA%9C%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x6018e5c8958f57b1:0xfacabdc8059b849d,暖季は外席が出てワンコ🆗です,fuchu-03,もつしげ 府中店,1.000,東京都府中市府中町1-5-7 浦野ビル 1F,"美味しいもつ焼きが食べられる人気のお店。
活気ある雰囲気の中でお酒やお食事が楽しめます。",平日 16:00〜23:30 / 土日祝 14:00〜23:30,無休,なし（近隣コインパーキング利用）,外席のみ（※暖季限定）,なし,,暖かい季節限定で外席が出ます。,もつしげ 府中店,東京都府中市府中町1丁目5-7 浦野ビル1F,月〜金・祝前・祝後16:00〜23:30（LO料理22:30ドリンク22:45）・土15:00〜23:30・日祝14:00〜22:00（LO料理21:00ドリンク21:15）（食べログ店舗掲載）,年中無休の記載なし（食べログFAQは全曜営業表記）,不明（食べログの駐車場欄は空欄）,暖季の外席で犬OKはメモ,なし,全席喫煙可・未成年入店不可（食べログ掲載）,"美味しいもつ焼きが食べられる人気のお店。
活気ある雰囲気の中でお酒やお食事が楽しめます。",暖かい季節限定で外席が出ます。,,https://www.instagram.com/motsushige.fuchu,https://tabelog.com/tokyo/A1326/A132602/13306727/|https://r.gnavi.co.jp/55whu81a0000/,犬同伴はメモのみ。喫煙・年齢制限は食べログ公式掲載,,researched
